====================================================================================================================================
Stage optimization problem for given input s_t = (x_t, omega_t) is in the following form : 

				 h_t(s_t) = c_t*x_t + min d_t*u_t
				                      s.t. D_t u_t = b_t - C_t x_t,

with the following linear dynamics: x_{t+} = a_{t+} + A_{t+}x_t + B_{t+}u_t.

------------------------------------------------------------------------------------------------------------------------------------

====================================================================================================================================
-------------------------------------------------------- Problem Information -------------------------------------------------------
====================================================================================================================================
Problem                            : SUFL_5_5
Number of stages                   : 2
------------------------------------------------------------------------------------------------------------------------------------
Stage 0
Number of decision variables (u_t) = 5		(Continuous = 0	Integer = 0	Binary = 5)
Number of constraints              = 1
Number of random variables (omega) = 0
------------------------------------------------------------------------------------------------------------------------------------
Stage 1
Number of decision variables (u_t) = 25		(Continuous = 25	Integer = 0	Binary = 0)
Number of constraints              = 30
Number of random variables (omega) = 25		(a_t = 0; b_t = 0; c_t = 0; d_t = 25; A_t = 0; B_t = 0; C_t = 0; D_t = 0)
====================================================================================================================================

====================================================================================================================================
Replication-1

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 181.890000
Total time                         : 0.269629
Total time to solve master         : 0.094504
Total time to solve subproblems    : 0.031359
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.016000
Error in estimation            : 0.001704
Confidence interval at 95%     : [181.885879, 182.146121]
Number of observations         : 250

====================================================================================================================================
Replication-2

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 181.970000
Total time                         : 0.266953
Total time to solve master         : 0.077797
Total time to solve subproblems    : 0.033892
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 181.904000
Error in estimation            : 0.001756
Confidence interval at 95%     : [181.769954, 182.038046]
Number of observations         : 250

====================================================================================================================================
Replication-3

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 3
Lower bound estimate               : 181.970000
Total time                         : 0.184105
Total time to solve master         : 0.051251
Total time to solve subproblems    : 0.020526
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.020000
Error in estimation            : 0.001652
Confidence interval at 95%     : [181.893802, 182.146198]
Number of observations         : 250

====================================================================================================================================
Replication-4

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 182.020000
Total time                         : 0.257304
Total time to solve master         : 0.085017
Total time to solve subproblems    : 0.030449
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.044000
Error in estimation            : 0.001610
Confidence interval at 95%     : [181.921022, 182.166978]
Number of observations         : 250

====================================================================================================================================
Replication-5

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 3
Lower bound estimate               : 182.030000
Total time                         : 0.159828
Total time to solve master         : 0.014239
Total time to solve subproblems    : 0.022470
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.052000
Error in estimation            : 0.001600
Confidence interval at 95%     : [181.929768, 182.174232]
Number of observations         : 250

====================================================================================================================================
Replication-6

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 182.120000
Total time                         : 0.203062
Total time to solve master         : 0.024406
Total time to solve subproblems    : 0.031075
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 181.984000
Error in estimation            : 0.001699
Confidence interval at 95%     : [181.854215, 182.113785]
Number of observations         : 250

====================================================================================================================================
Replication-7

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 3
Lower bound estimate               : 181.870000
Total time                         : 0.139668
Total time to solve master         : 0.012761
Total time to solve subproblems    : 0.019840
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.052000
Error in estimation            : 0.001628
Confidence interval at 95%     : [181.927644, 182.176356]
Number of observations         : 250

====================================================================================================================================
Replication-8

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 181.950000
Total time                         : 0.191506
Total time to solve master         : 0.025692
Total time to solve subproblems    : 0.028956
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 181.960000
Error in estimation            : 0.001725
Confidence interval at 95%     : [181.828268, 182.091732]
Number of observations         : 250

====================================================================================================================================
Replication-9

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 3
Lower bound estimate               : 182.110000
Total time                         : 0.172050
Total time to solve master         : 0.045941
Total time to solve subproblems    : 0.019170
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.036000
Error in estimation            : 0.001592
Confidence interval at 95%     : [181.914421, 182.157579]
Number of observations         : 250

====================================================================================================================================
Replication-10

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 3
Lower bound estimate               : 182.030000
Total time                         : 0.140315
Total time to solve master         : 0.012325
Total time to solve subproblems    : 0.019605
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 181.964000
Error in estimation            : 0.001688
Confidence interval at 95%     : [181.835103, 182.092897]
Number of observations         : 250

====================================================================================================================================
Replication-11

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 182.120000
Total time                         : 0.243719
Total time to solve master         : 0.073511
Total time to solve subproblems    : 0.029976
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 181.908000
Error in estimation            : 0.001720
Confidence interval at 95%     : [181.776719, 182.039281]
Number of observations         : 250

====================================================================================================================================
Replication-12

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 182.040000
Total time                         : 0.210831
Total time to solve master         : 0.035757
Total time to solve subproblems    : 0.030396
Total time in verifying optimality : 0.000000
------------------------------------------------------------- Evaluation ----------------------------------------------------------
Upper bound estimate           : 182.012000
Error in estimation            : 0.001675
Confidence interval at 95%     : [181.884073, 182.139927]
Number of observations         : 250

====================================================================================================================================
Replication-13

------------------------------------------------------------ Optimization ---------------------------------------------------------
Algorithm                          : Benders Decomposition
Number of iterations               : 4
Lower bound estimate               : 182.370000
Total time                         : 0.192462
